17:06:38: Dealer 1: Car 1 (Body: 3, Motor: 2, Accessory: 1)
17:06:39: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
17:06:39: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
17:06:40: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
17:06:41: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
17:06:42: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
17:06:43: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
17:06:44: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
17:06:45: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
17:06:46: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
17:06:47: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
17:06:48: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
17:15:38: Dealer 1: Car 1 (Body: 1, Motor: 3, Accessory: 2)
17:15:39: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
17:15:40: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
17:15:41: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
17:15:42: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
17:15:43: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
17:15:43: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
17:15:44: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
17:15:45: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
17:15:46: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
17:15:47: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
17:15:48: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
